year,sig05,sig095,sig105,sig15,sig2,sig25,sig3,sig35,sig4,sig45,sig5
2038,10.9189604962521,10.1666045172771,7.67493174285159,5.0159037350482,4.31636731757371,3.66967119167723,3.08552116074823,2.56881309751528,2.12016759403716,1.73685632437106,1.41385566223938
2039,10.9151703505197,10.158823971651,7.66760069225283,5.00246767843229,4.29545738970085,3.64291823694379,3.05476282018598,2.53585943055987,2.08662520636674,1.70402637991712,1.38269979070378
2040,10.9105345233614,10.1506534715762,7.66010661907068,4.9897202116239,4.27602087435225,3.61829432347364,3.02663757260883,2.50588453192136,2.05625594060235,1.67443005744946,1.35472790050892
2041,10.905083804317,10.1420863530858,7.65243347455321,4.97758239887432,4.25791046420538,3.59558992812197,3.00088192664493,2.47858110269416,2.02872018402831,1.64770740388897,1.3295712423303
2042,10.8988448920038,10.1331151088522,7.64456539988028,4.96598078571274,4.24099038154307,3.57461345895556,2.97725692775411,2.4536728603218,2.00371528230948,1.6235404428183,1.30690685603339
2043,10.891840640876,10.1237314042031,7.63648669512966,4.95484706323791,4.22513558085979,3.55518981760638,2.95554589479333,2.43091130159481,1.98097125207477,1.60164784606254,1.28645129383023
2044,10.8840902985345,10.1139260935969,7.628181787313,4.94411773120486,4.21023097343394,3.53715904308954,2.93555234074369,2.41007279564306,1.96024700499471,1.58178032042417,1.26795526768543
2045,10.8756097323072,10.1036892371758,7.6196351980614,4.93373376480897,4.19617068046382,3.52037504008434,2.91709806951139,2.39095597861052,1.94132702527281,1.56371661335644,1.25119908085053
2046,10.8664116442442,10.0930101171061,7.61083151144132,4.92364028901562,4.18285731942949,3.50470439230249,2.90002143887724,2.37337942203422,1.92401844714438,1.54726005275793,1.2359887237087
2047,10.8565057740321,10.0818772534925,7.60175534229389,4.91378626337744,4.1702013267657,3.49002525982204,2.88417577868788,2.35717954813273,1.90814848406293,1.53223554684421,1.22215253208138
2048,10.8458990896297,10.0702784197219,7.59239130541524,4.9041241795113,4.15812031866184,3.47622635801388,2.86942795300314,2.34220876689183,1.89356216636524,1.51848697991142,1.20953832178304
2049,10.8345959656641,10.0582006571503,7.58272398583216,4.89460977276431,4.14653849079841,3.46320601482192,2.85565705495574,2.32833381177131,1.88012034910933,1.50587494863867,1.19801092665315
2050,10.8225983498182,10.045630289098,7.57273791037321,4.88520174906575,4.13538605704225,3.45087130258896,2.84275322340176,2.31543425288427,1.8676979563403,1.49427479136643,1.1874500787507
2051,10.8099059175911,10.0325529341587,7.56241752069233,4.87586152753001,4.1245987265197,3.43913724027911,2.83061657094262,2.30340116851011,1.85618243219502,1.48357486958405,1.17774857910052
2052,10.7965162159232,10.0189535188656,7.55174714786599,4.8665529990284,4.11411721803489,3.42792606177827,2.81915621350902,2.2921359577296,1.84547237298705,1.47367506674102,1.16881071556352
2053,10.7824247962653,10.0048162897854,7.54071098865747,4.85724230067549,4.1038868104731,3.41716654591291,2.80828939236265,2.28154927877515,1.8354763177261,1.46448547455526,1.16055089128112
2054,10.7676253377258,9.99012482513605,7.52929308352011,4.84789760596487,4.09385692760127,3.40679340388015,2.79794068005539,2.2715600993508,1.82611167744325,1.45592524132431,1.15289243291319
2055,10.7521097609736,9.97486204604508,7.51747729639534,4.83848893013205,4.08398075553231,3.39674671990196,2.78804126256517,2.26209484669073,1.81730378624812,1.44792156044451,1.14576655272259
2056,10.7358683335919,9.95901022757958,7.50524729635031,4.82898795020748,4.07421489103613,3.38697144108263,2.77852829048327,2.25308664648914,1.80898505927018,1.44040878049437,1.13911144260528
2057,10.7188897675928,9.94255100969417,7.49258654109209,4.81936783914461,4.06451901884957,3.37741691264605,2.76934429275368,2.24447464105914,1.80109424457178,1.43332762091954,1.13287148155197
2058,10.7011613097987,9.92546540825286,7.47947826239155,4.80960311335854,4.05485561614268,3.36803645494476,2.76043664705106,2.23620337816882,1.79357575779744,1.42662447963615,1.12699654086353
2059,10.6826688257905,9.9077338262905,7.46590545344826,4.79966949298408,4.04518968233531,3.35878697885789,2.75175710142873,2.22822226297364,1.78637908977608,1.42025082080606,1.12144137381814
2060,10.6633968781095,9.88933606568595,7.45185085822842,4.78954377415481,4.03548849251538,3.34962863642319,2.74326134237318,2.22048506632396,1.77945827854955,1.41416263268515,1.11616507848177
